Course code,Academic Year,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte,Engelsk titel,Undervisningssprog,Point( ECTS ),Kursustype,Evalueringsform,Hjælpemidler,Bedømmelsesform,Institut,Mulighed for GRØN DYST deltagelse,Ekstern samarbejdsinstitution,forudsætninger,WMA
01001,2023-2024,2023,Winter,853,1072,8.2,977,Mathematics 1a (Polytechnical foundation),Dansk,10,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.326665471265535
01001,2023-2024,2024,Summer,39,72,4.4,63,Mathematics 1a (Polytechnical foundation),Dansk,10,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.324474330265419
01002,2023-2024,2024,Summer,700,941,7.6,864,Mathematics 1b (Polytechnical Foundation),Dansk,10,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Ja,7.324947540099387
01003,2023-2024,2023,Winter,168,200,8.7,188,Mathematics 1a (Polytechnical foundation),Engelsk,10,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.324335810502949
01003,2023-2024,2024,Summer,10,18,4.5,18,Mathematics 1a (Polytechnical foundation),Engelsk,10,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Ikke oplyst,Ja,Nej,7.32366975454102
01004,2023-2024,2024,Summer,148,185,8.2,178,Mathematics 1b (Polytechnical Foundation),Engelsk,10,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Ja,7.323800656751004
01005,2017-2018,2018,Summer,740,1116,8.4,1084,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.323398789477878
01005,2018-2019,2019,Summer,792,1126,5.4,1070,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.320383294618
01005,2019-2020,2020,Summer,804,1093,8.8,996,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.325707423116874
01005,2020-2021,2021,Summer,923,1420,8.5,1339,Advanced Engineering Mathematics 1,Dansk,20,Bachelor,Anden,Tilladt,ekstern censur,01 Institut for Matematik og Computer Science,Måske,Ja,Nej,7.321892883955443
