Course,Year,Season,Antal bestået,Antal tilmeldte,Eksamensgennemsnit,Fremmødte
01001,2023,Winter,"853  (79  %  af de tilmeldte,  87  %  af de fremmødte)",1072,"8,2 (Efter 7-trinsskalaen)",977
01001,2024,Summer,"39  (54  %  af de tilmeldte,  61  %  af de fremmødte)",72,"4,4 (Efter 7-trinsskalaen)",63
01002,2024,Summer,"700  (74  %  af de tilmeldte,  81  %  af de fremmødte)",941,"7,6 (Efter 7-trinsskalaen)",864
01003,2023,Winter,"168  (84  %  af de tilmeldte,  89  %  af de fremmødte)",200,"8,7 (Efter 7-trinsskalaen)",188
01003,2024,Summer,"10  (55  %  af de tilmeldte,  55  %  af de fremmødte)",18,"4,5 (Efter 7-trinsskalaen)",18
01004,2024,Summer,"148  (80  %  af de tilmeldte,  83  %  af de fremmødte)",185,"8,2 (Efter 7-trinsskalaen)",178
01005,2017,Summer,"689  (71  %  af de tilmeldte,  72  %  af de fremmødte)",965,"8,4 (Efter 7-trinsskalaen)",951
01005,2018,Summer,"740  (66  %  af de tilmeldte,  68  %  af de fremmødte)",1116,"8,4 (Efter 7-trinsskalaen)",1084
01005,2019,Summer,"792  (70  %  af de tilmeldte,  74  %  af de fremmødte)",1126,"5,4 (Efter 7-trinsskalaen)",1070
01005,2020,Summer,"804  (73  %  af de tilmeldte,  80  %  af de fremmødte)",1093,"8,8 (Efter 7-trinsskalaen)",996
01005,2021,Summer,"923  (65  %  af de tilmeldte,  68  %  af de fremmødte)",1420,"8,5 (Efter 7-trinsskalaen)",1339
01005,2022,Summer,"772  (70  %  af de tilmeldte,  76  %  af de fremmødte)",1092,"8,5 (Efter 7-trinsskalaen)",1014
01005,2022,Winter,,1,,1
01005,2023,Summer,"732  (69  %  af de tilmeldte,  80  %  af de fremmødte)",1055,"8,2 (Efter 7-trinsskalaen)",906
01005,2023,Winter,,1,,1
01005,2024,Summer,"42  (48  %  af de tilmeldte,  60  %  af de fremmødte)",86,6 (Efter 7-trinsskalaen),70
01006,2017,Summer,"33  (80  %  af de tilmeldte,  82  %  af de fremmødte)",41,"9,2 (Efter 7-trinsskalaen)",40
01006,2018,Summer,"90  (76  %  af de tilmeldte,  78  %  af de fremmødte)",118,"9,3 (Efter 7-trinsskalaen)",115
01006,2019,Summer,"101  (82  %  af de tilmeldte,  87  %  af de fremmødte)",123,"7,1 (Efter 7-trinsskalaen)",116
01006,2020,Summer,"103  (70  %  af de tilmeldte,  78  %  af de fremmødte)",147,"8,1 (Efter 7-trinsskalaen)",132
01006,2021,Summer,"95  (62  %  af de tilmeldte,  69  %  af de fremmødte)",151,"8,3 (Efter 7-trinsskalaen)",136
01006,2022,Summer,"93  (59  %  af de tilmeldte,  63  %  af de fremmødte)",156,"8,5 (Efter 7-trinsskalaen)",146
01006,2023,Summer,"135  (74  %  af de tilmeldte,  74  %  af de fremmødte)",182,"8,2 (Efter 7-trinsskalaen)",181
01006,2024,Summer,"2  (28  %  af de tilmeldte,  28  %  af de fremmødte)",7,3 (Efter 7-trinsskalaen),7
01015,2017,Summer,"61  (74  %  af de tilmeldte,  79  %  af de fremmødte)",82,9 (Efter 7-trinsskalaen),77
01015,2018,Summer,"55  (70  %  af de tilmeldte,  72  %  af de fremmødte)",78,"8,8 (Efter 7-trinsskalaen)",76
01015,2019,Summer,"55  (67  %  af de tilmeldte,  71  %  af de fremmødte)",82,"5,6 (Efter 7-trinsskalaen)",77
01015,2020,Summer,"71  (73  %  af de tilmeldte,  82  %  af de fremmødte)",96,"9,1 (Efter 7-trinsskalaen)",86
01015,2021,Summer,"68  (69  %  af de tilmeldte,  74  %  af de fremmødte)",98,"8,4 (Efter 7-trinsskalaen)",91
01015,2022,Summer,"52  (65  %  af de tilmeldte,  70  %  af de fremmødte)",79,"8,5 (Efter 7-trinsskalaen)",74
01015,2023,Summer,"49  (71  %  af de tilmeldte,  72  %  af de fremmødte)",69,"8,4 (Efter 7-trinsskalaen)",68
01015,2024,Summer,"4  (66  %  af de tilmeldte,  66  %  af de fremmødte)",6,4 (Efter 7-trinsskalaen),6
01016,2017,Summer,"18  (23  %  af de tilmeldte,  25  %  af de fremmødte)",77,"6,2 (Efter 7-trinsskalaen)",70
01016,2018,Summer,"5  (62  %  af de tilmeldte,  83  %  af de fremmødte)",8,"5,4 (Efter 7-trinsskalaen)",6
01016,2019,Summer,,2,,1
01016,2020,Summer,,3,,3
01017,2017,Summer,"4  (28  %  af de tilmeldte,  57  %  af de fremmødte)",14,"1,9 (Efter 7-trinsskalaen)",7
01017,2017,Winter,"217  (84  %  af de tilmeldte,  88  %  af de fremmødte)",256,"6,1 (Efter 7-trinsskalaen)",245
01017,2018,Summer,"9  (69  %  af de tilmeldte,  81  %  af de fremmødte)",13,"7,1 (Efter 7-trinsskalaen)",11
01017,2018,Winter,"275  (86  %  af de tilmeldte,  90  %  af de fremmødte)",319,"6,1 (Efter 7-trinsskalaen)",305
01017,2019,Summer,"9  (64  %  af de tilmeldte,  69  %  af de fremmødte)",14,"3,4 (Efter 7-trinsskalaen)",13
01017,2019,Winter,"257  (83  %  af de tilmeldte,  87  %  af de fremmødte)",309,"5,9 (Efter 7-trinsskalaen)",295
01017,2020,Summer,"12  (66  %  af de tilmeldte,  70  %  af de fremmødte)",18,"2,9 (Efter 7-trinsskalaen)",17
